enemy_id,experiment_id,gen_id,gen_max,overall_max,mean,var,std
2,2,15,93.727,93.727,59.292094,1482.299906,38.500648
2,2,16,93.727,93.727,66.45789,1337.674114,36.574227
2,2,17,91.772379,93.727,74.464569,962.562212,31.025187
2,2,18,91.84704,93.727,64.3806,1596.379657,39.95472
2,2,19,92.718596,93.727,60.857146,1630.081273,40.374265
2,2,20,92.718596,93.727,71.149283,1098.749011,33.147383
2,2,21,92.718596,93.727,66.094062,1332.523684,36.503749
2,2,22,92.718596,93.727,61.712498,1493.964418,38.651836
2,2,23,92.770654,93.727,63.764287,1404.82759,37.48103
2,2,24,93.727,93.727,69.85167,1192.909249,34.538518
2,2,25,93.727,93.727,63.999958,1476.324055,38.422963
2,2,26,93.727,93.727,60.280874,1576.46039,39.704665
2,2,27,92.53704,93.727,70.907919,1185.276232,34.427841
2,2,28,93.727,93.727,67.394121,1465.938579,38.287577
2,2,29,92.73194,93.727,70.934949,1141.294753,33.783054
2,2,30,92.13704,93.727,72.437386,1165.06398,34.133034
2,2,31,92.13704,93.727,62.676166,1713.727767,41.397195
2,2,32,92.53704,93.727,71.729021,1260.431343,35.502554
2,2,33,92.73194,93.727,68.581854,1195.624909,34.577809
2,2,34,92.73194,93.727,63.813252,1445.290829,38.016981
2,2,35,92.927,93.727,67.65908,1343.920331,36.659519
2,2,36,92.927,93.727,63.043037,1368.13576,36.988319
2,2,37,92.572379,93.727,63.309044,1541.193744,39.258041
2,2,38,92.77505,93.727,69.439717,1188.971086,34.48146
2,2,39,92.53704,93.727,65.033758,1308.309047,36.170555
2,2,40,92.572379,93.727,73.732458,1139.764597,33.7604
2,2,41,92.500134,93.727,67.296203,1357.50687,36.84436
2,2,42,92.776119,93.727,66.243483,1366.8746,36.971267
2,2,43,92.776119,93.727,72.988406,1204.929398,34.712093
2,2,44,92.44704,93.727,61.733077,1500.529025,38.736663
2,2,45,92.372379,93.727,70.794031,1120.885719,33.479631
2,2,46,92.572379,93.727,78.028211,849.898823,29.153024
2,2,47,92.58272,93.727,59.677428,1581.850511,39.772484
2,2,48,92.50625,93.727,67.768335,1285.695882,35.856602
2,2,49,92.576119,93.727,71.259325,1194.026769,34.554692
2,2,50,92.601503,93.727,65.716552,1485.638648,38.543983
2,3,1,92.33704,92.33704,21.866613,943.014835,30.708547
2,3,2,91.772379,92.33704,41.806454,1303.303687,36.101298
2,3,3,92.524826,92.524826,56.992958,1369.372488,37.005033
2,3,4,92.563558,92.563558,67.56145,1023.431514,31.991116
2,3,5,92.58272,92.58272,60.013375,1405.805123,37.494068
2,3,6,92.58272,92.58272,64.733584,1376.137993,37.096334
2,3,7,92.58272,92.58272,60.321943,1481.884296,38.49525
2,3,8,92.927,92.927,68.036722,1263.46253,35.545218
2,3,9,92.927,92.927,61.685834,1389.283441,37.273093
2,3,10,92.58272,92.927,59.787197,1542.099531,39.269575
2,3,11,92.53704,92.927,64.812817,1452.515416,38.11188
2,3,12,92.718596,92.927,68.90546,1274.411989,35.698907
2,3,13,92.379644,92.927,66.552536,1389.218059,37.272216
2,3,14,92.690612,92.927,65.803956,1368.322734,36.990847
2,3,15,92.690612,92.927,64.693459,1362.836807,36.91662
2,3,16,92.690612,92.927,67.033056,1198.381258,34.617644
2,3,17,92.776119,92.927,61.008327,1431.655783,37.837227
2,3,18,92.776119,92.927,60.798121,1498.254891,38.707298
2,3,19,92.776119,92.927,59.474392,1588.171572,39.85187
2,3,20,92.776119,92.927,64.06428,1382.249779,37.17862
2,3,21,92.776119,92.927,63.989071,1522.277682,39.016377
2,3,22,92.776119,92.927,65.699712,1349.35179,36.733524
2,3,23,92.500134,92.927,60.346366,1593.904554,39.923734
2,3,24,93.235214,93.235214,71.318424,1215.70118,34.866907
2,3,25,93.235214,93.235214,64.882003,1373.896848,37.066115
2,3,26,93.235214,93.235214,71.472145,1226.203057,35.017182
2,3,27,93.235214,93.235214,61.302934,1520.229001,38.990114
2,3,28,92.24704,93.235214,64.613897,1430.141241,37.817208
2,3,29,92.927,93.235214,67.376648,1348.986046,36.728545
2,3,30,92.927,93.235214,70.898832,1252.900851,35.39634
2,3,31,92.927,93.235214,66.901138,1442.428264,37.979314
2,3,32,92.13704,93.235214,72.398443,1212.80494,34.825349
2,3,33,92.568788,93.235214,72.470738,1113.914688,33.37536
2,3,34,91.84704,93.235214,68.344605,1387.230868,37.245548
2,3,35,93.327,93.327,63.743401,1525.829817,39.061872
2,3,36,92.327,93.327,67.223418,1400.269487,37.420175
2,3,37,92.327,93.327,69.349782,1347.613141,36.709851
2,3,38,92.727,93.327,70.490943,1326.924897,36.42698
2,3,39,92.327,93.327,64.745763,1552.517988,39.402005
2,3,40,92.531096,93.327,73.302007,1039.300697,32.238187
2,3,41,92.531096,93.327,68.335523,1387.896263,37.25448
2,3,42,92.531096,93.327,67.459946,1275.060525,35.70799
2,3,43,93.727,93.727,62.20753,1652.561081,40.651705
2,3,44,91.93704,93.727,62.126621,1614.934319,40.186245
2,3,45,92.53704,93.727,69.583926,1346.802318,36.698805
2,3,46,92.772379,93.727,63.771735,1578.300077,39.727825
2,3,47,93.127,93.727,68.722082,1341.721555,36.629518
2,3,48,92.772379,93.727,70.598091,1351.720457,36.765751
2,3,49,92.772379,93.727,64.488523,1500.484827,38.736092
2,3,50,92.772379,93.727,67.834661,1365.844806,36.957338
2,4,1,91.772379,91.772379,19.094045,849.814848,29.151584
2,4,2,92.862462,92.862462,43.057567,1176.011523,34.293024
2,4,3,93.127,93.127,47.437916,1508.853522,38.843964
2,4,4,92.13704,93.127,52.32734,1428.01626,37.789102
2,4,5,92.500134,93.127,57.104099,1519.174597,38.97659
2,4,6,92.727,93.127,57.425255,1527.496464,39.083199
2,4,7,92.727,93.127,58.815396,1489.50611,38.59412
